Stat,Value,Player/Opponent
Rushes,25.0,"Carter,Daniel vs Lawrence (09/18/2021)"
Yards Rushing,149.0,Daniel Carter vs Beloit (10/2/2021)
TD Rushes,2.0,"Carter,Daniel vs Lawrence (09/18/2021)"
,2.0,Daniel Quirk vs Beloit (10/2/2021)
Long Rush,72.0,"Carter,Daniel vs Illinois Col. (11/06/2021)"
Pass Attempts,28.0,"Woodhouse,Grayson vs Lawrence (09/18/2021)"
Pass Completions,18.0,Grayson Woodhouse vs Beloit (10/2/2021)
Yards Passing,208.0,"Moses,Hayden vs Illinois Col. (11/06/2021)"
TD Passes,2.0,"Woodhouse,Grayson vs Lawrence (09/18/2021)"
,2.0,"Woodhouse,Grayson vs Knox (10/16/2021)"
Longest Pass,74.0,"Moses,Hayden vs Illinois Col. (11/06/2021)"
Receptions,11.0,"Saia,Dustin vs Lawrence (09/18/2021)"
Yards Receiving,135.0,"Rhinehart,Nick vs Illinois Col. (11/06/2021)"
TD Receptions,2.0,"Saia,Dustin vs Lawrence (09/18/2021)"
,2.0,"Saia,Dustin vs Knox (10/16/2021)"
,2.0,"Rhinehart,Nick vs Illinois Col. (11/06/2021)"
Longest Reception,74.0,"Rhinehart,Nick vs Illinois Col. (11/06/2021)"
Field Goals,2.0,Nick Rhinehart vs Beloit (10/2/2021)
Longest Field Goal,37.0,Nick Rhinehart vs Beloit (10/2/2021)
Punts,9.0,"Rhinehart,Nick vs Lake Forest (10/23/2021)"
Punting Average,43.5,Nick Rhinehart vs Rockford University (9/4/2021)
Longest Punt,62.0,"Rhinehart,Nick vs Ripon (10/09/2021)"
Longest Kickoff Return,61.0,"Saia,Dustin vs Lawrence (09/18/2021)"
Tackles,14.0,Adam Khater vs Cornell College (11/13/2021)
Sacks,2.5,"Burton,Clayton vs Illinois Col. (11/06/2021)"
Tackles For Loss,4.5,Adam Khater vs Cornell College (11/13/2021)
Interceptions,2.0,Luke Stefan vs Cornell College (11/13/2021)
