Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/4/2021,Grinnell College,1,52,52.0,52,0,0,0,1,1,0-0,,0,8,451,56.38,0,0
09/11/2021,Grinnell,1,44,44.0,44,0,0,1,0,0,0-0,0.0,0,7,354,50.57,0,1
09/18/2021,Grinnell,3,101,33.7,40,0,0,0,0,0,0-0,0.0,0,5,296,59.2,2,0
10/2/2021,Grinnell,5,161,32.2,42,0,0,2,0,0,0-0,,0,3,125,41.67,1,0
10/09/2021,Grinnell,3,120,40.0,47,0,0,0,0,1,1-1,40.0,0,9,437,48.56,2,0
10/16/2021,Grinnell,2,38,19.0,22,0,0,1,0,0,0-0,0.0,0,8,423,52.88,1,0
10/23/2021,Grinnell,1,32,32.0,32,0,0,1,0,0,1-1,27.0,0,13,660,50.77,1,1
10/30/2021,Grinnell,0,0,0.0,0,0,0,0,0,0,1-1,42.0,0,13,730,56.15,0,0
11/06/2021,Grinnell,2,55,27.5,36,0,0,0,0,1,0-0,0.0,0,9,425,47.22,0,0
11/13/2021,Grinnell College,2,43,21.5,28,0,0,0,0,1,0-0,,0,6,238,39.67,0,0
