Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/4/2021,Rockford University,L,13-48,1,1,7,1,1,0,0,0,0,0,0,0,0
09/11/2021,Monmouth (IL),L,7-42,2,1,7,1,1,0,0,0,1,0,0,0,0
09/18/2021,Lawrence,W,35-28,4,4,28,4,3,1,0,0,0,0,0,0,0
10/2/2021,Beloit,W,40-13,7,7,18,5,5,0,2,0,0,0,0,0,0
10/09/2021,Ripon,L,8-52,2,0,0,0,0,0,0,0,2,0,0,0,0
10/16/2021,Knox,L,28-49,4,3,21,3,1,2,0,0,0,1,0,0,0
10/23/2021,Lake Forest,L,0-79,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2021,Chicago,L,3-78,1,1,3,0,0,0,1,0,0,0,0,0,0
11/06/2021,Illinois Col.,L,24-55,2,1,6,1,1,0,0,0,1,0,0,0,0
11/13/2021,Cornell College,L,14-34,2,1,7,1,0,1,0,0,0,1,0,0,0
,TOTALS,,,25,19,97,16,12,4,3,0,4,2,0,0,0
