Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/4/2021,Rockford University,2,87,43.5,47,0,0,0,0,0,0-0,,0,2,66,33.0,0,0
09/11/2021,Monmouth (IL),6,166,27.7,40,0,0,0,0,1,0-0,0.0,0,2,53,26.5,0,0
09/18/2021,Lawrence,3,119,39.7,45,0,0,0,0,1,0-0,0.0,0,5,249,49.8,0,0
10/2/2021,Beloit,1,25,25.0,25,0,0,1,0,1,2-2,37.0,0,8,326,40.75,0,0
10/09/2021,Ripon,7,272,35.6,62,0,0,0,1,1,0-0,,0,2,83,41.5,0,0
10/16/2021,Knox,3,89,29.7,38,0,0,0,0,0,0-0,0.0,0,4,151,37.75,0,0
10/23/2021,Lake Forest,9,330,36.7,48,0,0,0,0,0,0-0,,0,1,29,29.0,0,0
10/30/2021,Chicago,11,354,32.3,39,0,0,0,0,0,1-1,26.0,0,2,80,40.0,0,1
11/06/2021,Illinois Col.,4,114,26.65,36,1,0,1,0,0,0-0,0.0,0,5,179,35.8,0,1
11/13/2021,Cornell College,4,126,31.5,41,0,0,0,0,0,0-0,,0,3,97,32.33,0,0
