Stat,Value,Player/Opponent
Rushes,52,vs Knox (10/16/2021)
Yards Rushing,454,vs Chicago (10/30/2021)
TD Rushes,7,vs Knox (10/16/2021)
Pass Attempts,42,vs Lawrence (09/18/2021)
Pass Completions,31,vs Rockford University (9/4/2021)
Yards Passing,434,vs Lake Forest (10/23/2021)
TD Passes,7,vs Lake Forest (10/23/2021)
