Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Rockford University,13-48,19/24,11/5,4/18,4/1,44-160 / 25-116,11-21-1 / 31-37-0,163/402,65-323 / 62-518,0/20,1/0
Monmouth (IL),7-42,15/19,8/12,6/7,1/0,44--1 / 31-236,16-25-1 / 14-21-1,168/248,69-167 / 52-484,0/5,1/2
Lawrence,35-28,25/22,13/4,11/13,1/5,53-213 / 26-82,17-28-0 / 20-42-0,181/225,81-394 / 68-307,61/128,1/0
Beloit,13-40,30/7,22/3,8/2,0/2,59-269 / 27-66,18-24-1 / 5-15-1,202/54,83-471 / 42-120,8/95,2/1
Ripon,52-8,15/18,8/11,4/6,3/1,48-64 / 30-417,14-27-0 / 8-16-1,175/152,75-239 / 46-569,12/33,0/1
Knox,49-28,23/20,10/17,11/1,2/2,40-94 / 52-392,16-28-1 / 1-4-0,229/32,68-323 / 56-424,92/71,2/0
Lake Forest,0-79,7/23,3/11,3/12,1/0,34--38 / 38-198,8-25-1 / 21-28-0,45/434,59-7 / 66-632,74/61,2/1
Chicago,78-3,10/29,3/19,5/8,2/2,45-51 / 46-454,7-21-0 / 10-16-0,62/259,66-113 / 62-713,50/35,0/1
Illinois Col.,24-55,20/28,11/12,8/14,1/2,43-171 / 33-198,11-20-3 / 22-36-0,264/300,63-435 / 69-498,35/166,3/1
Cornell College,34-14,20/18,6/11,12/7,2/0,29-115 / 43-225,19-35-2 / 12-17-2,204/153,64-319 / 60-378,27/60,2/3
