0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Mount Mercy Fall Invitational,"Aug. 30-31, 2013",2,124-126=250,+106,104th/107
Central Fall Invitational,"Sept. 6-7, 2013",2,148-152=300,+156,22nd/23
2013 Grinnell College Invitational,"Sep 28, 2013",1,115,+43,34th/36
Midwest Conference Championship,10/4-6/2013,3,138-143-138=419,+200,32nd/32
Mount Mercy Spring Invitational,"April 12, 2014",1,105,+33,t-36th/47
SEASON TOTALS,SEASON TOTALS,9,1189 Avg. 132.1,+60,-
