0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Mount Mercy Fall Invitational,"Aug. 30-31, 2013",2,95-86=181,+37,t-40th/107
Central Fall Invitational,"Sept. 6-7, 2013",2,89-92=181,+37,8th/23
Illinois Wesleyan Fall Classic,9/14-15/2013,2,86-87=173,+29,t-69th/111
2013 Grinnell College Invitational,"Sep 28, 2013",1,92,+20,t-21st/36
Midwest Conference Championship,10/4-6/2013,3,98-88-94=280,+61,11th/32
Mount Mercy Spring Invitational,"April 12, 2014",1,99,+27,t-24th/47
NCAA Division III National Championship,05/13-16/14,4,99-99-97-0=295,+79,
SEASON TOTALS,SEASON TOTALS,14,1301 Avg. 92.9,+21,-
