0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Jon Cohen,10,790,74,-,5,-,2,2,+7,79.0,-,-,-
Chris Marsho,9,745,77,-,5,-,-,1,+11,82.8,-,-,-
Rockne Decoster,10,851,77,-,5,-,-,-,+14,85.1,-,-,-
Max Herzberg,10,892,83,-,5,-,-,1,+18,89.2,-,-,-
Nirabh Koirala,10,894,77,-,5,-,-,1,+18,89.4,-,-,-
Travis Palmer,10,915,82,-,5,-,-,1,+20,91.5,-,-,-
Thomas Marsho,3,295,89,-,2,-,-,-,+28,98.3,-,-,-
FOUR-PLAYER TEAM,10,3347,311,-,5,-,2,6,+48,334.7,,,
