0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Grinnell vs. Pima,3/20/2014,1,2,2,12,+31,311
Prairie Fire Classic,3/28-29/2014,2,5,10,54,+78,646
Wartburg Spring Invitational,"April 11-12, 2014",2,13,16,98,+84,660
Blueboy Invitational,4/18-19/2014,2,8,11,59,+140,716
2014 MWC Men's Golf Championships,"May 1-3, 2014",3,5,8,43,+150,1014
