Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Tesar, Tali",FR-1,17.35,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.2
,"Tomczik, Kate",FR-1,17.47,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.3
,"Tesar, Tali",FR-1,17.54,2019 Dick Young Invite,"Apr 20, 2019",0.0
,"Tesar, Tali",FR-1,17.54,2019 Dick Young Invite,"Apr 20, 2019",-0.7
,"Tomczik, Kate",FR-1,17.75,Mustang Open,"Apr 13, 2019",1.0
,"Tomczik, Kate",FR-1,17.82,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.9
,"Tomczik, Kate",FR-1,17.94,2019 Dick Young Invite,"Apr 20, 2019",-0.7
,"Tomczik, Kate",FR-1,17.95,2019 Dick Young Invite,"Apr 20, 2019",0.0
,"Eure, Maria",FR-1,17.98,2019 Dick Young Invite,"Apr 20, 2019",-0.7
,"Eure, Maria",FR-1,17.99,2019 Dick Young Invite,"Apr 20, 2019",0.0
,"Eure, Maria",FR-1,18.27,Mustang Open,"Apr 13, 2019",1.0
,"Tesar, Tali",FR-1,18.31,Mustang Open,"Apr 13, 2019",1.0
,"Eure, Maria",FR-1,18.49,Emory Classic,"Mar 29, 2019",2.0
,"Tesar, Tali",FR-1,18.53,Emory Classic,"Mar 29, 2019",-2.5
,"Soderberg, Midori",SO-2,18.92,Mustang Open,"Apr 13, 2019",-0.1
,"Pellisslier Lloyd, Tallulah",FR-1,19.43,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.2
,"Pellisslier Lloyd, Tallulah",FR-1,19.46,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.9
,"Pellisslier Lloyd, Tallulah",FR-1,20.66,Mustang Open,"Apr 13, 2019",-0.1
