Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"November 19, 2004 (Friday)",,Neutral,Eureka,"Elmhurst, IL",,,"W,73-70",
"November 20, 2004 (Saturday)",,Away,Elmhurst,"Elmhurst, IL",,,"L,68-71",
"November 27, 2004 (Saturday)",,Away,Luther,"Decorah, IA",,,"L,68-71",
"December 4, 2004 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"L,60-79",
"December 8, 2004 (Wednesday)",,Away,Cornell,"Mount Vernon, IA",,,"W,88-63",
"December 11, 2004 (Saturday)",,Away,Central,"Pella, IA",,,"L,56-95",
"January 2, 2005 (Sunday)",,Away,Loras,"Dubuque, IA",,,"L,62-78",
"January 6, 2005 (Thursday)",,Away,Knox,"Galesburg, IL",,,"W,84-63",
"January 8, 2005 (Saturday)",,Away,Lake Forest,"Lake Forest, IL",,,"L,62-77",
"January 11, 2005 (Tuesday)",,Away,Monmouth,"Monmouth, IL",,,"L,76-91",
"January 14, 2005 (Friday)",,Away,Beloit,"Beloit, WI",,,"L,87-91",
"January 15, 2005 (Saturday)",,Away,Ripon,"Ripon, WI",,,"L,61-92",
"January 21, 2005 (Friday)",,Home,Lawrence,"Grinnell, IA",,,"L,80-93",
"January 22, 2005 (Saturday)",,Home,St. Norbert,"Grinnell, IA",,,"L,65-73",
"January 28, 2005 (Friday)",,Away,Carroll,"Waukesha, WI",,,"L,66-73",
"January 29, 2005 (Saturday)",,Away,Lawrence,"Appleton, WI",,,"L,59-81",
"February 1, 2005 (Tuesday)",,Home,Monmouth,"Grinnell, IA",,,"W,86-81",
"February 3, 2005 (Thursday)",,Home,Beloit,"Grinnell, IA",,,"L,73-76",
"February 4, 2005 (Friday)",,Home,Ripon,"Grinnell, IA",,,"W,87-76",
"February 9, 2005 (Wednesday)",,Away,Upper Iowa,"Fayette, IA",,,"L,75-90",
"February 12, 2005 (Saturday)",,Home,Illinois College,"Grinnell, IA",,,"L,78-87",
"February 16, 2005 (Wednesday)",,Home,Knox,"Grinnell, IA",,,"W,71-53",
"February 19, 2005 (Saturday)",,Home,Lake Forest,"Grinnell, IA",,,"L,72-74",
