School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College*,15-2,.882,30-13,.698,L2,8-3,6-4,16-6
Beloit*,11-5-1,.676,19-19-1,.500,L2,8-5,5-4-1,6-10
Ripon,7-10,.412,8-26,.235,L5,2-9,2-7,4-10
Lawrence,1-15-1,.088,5-29-1,.157,L5,1-7-1,1-6,3-16
Grinnell*#,13-7,.650,20-16,.556,L4,6-6,8-3,6-7
Cornell College*,12-8,.600,19-20,.487,L1,4-9,10-4,5-7
Knox,9-11,.450,16-17,.485,W1,6-3,7-7,3-7
Monmouth (IL),9-11,.450,16-19,.457,W1,5-6,6-6,5-7
Illinois Col.,6-14,.300,11-23,.324,W2,5-6,3-8,3-9
