School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lawrence# *,18-6,.750,26-13,.667,L2,11-0,8-7,7-6
University of Chicago*,16-7,.696,23-16,.590,L1,9-3,8-9,6-4
Ripon*,13-11,.542,20-23,.465,L1,5-9,10-5,5-9
Illinois Col.*,12-12,.500,17-24,.415,L2,8-10,6-10,3-4
Beloit,12-12,.500,16-23,.410,L1,5-5,7-9,4-9
Grinnell,11-13,.458,14-21,.400,L2,7-8,5-6,2-7
Cornell College,11-13,.458,17-23,.425,W2,7-6,5-10,5-7
Monmouth (IL),8-16,.333,14-25,.359,L3,5-12,3-8,6-5
Knox,6-17,.261,8-27,.229,W2,4-11,3-9,1-7
