School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
St. Norbert College*,11-5,.688,24-15,.615,L1,6-2,6-8,12-5
Lawrence*,8-8,.500,15-21,.417,L2,5-4,4-5,6-12
Ripon,7-9,.438,12-20,.375,W1,5-4,6-6,1-10
Beloit,6-10,.375,20-18,.526,L5,7-3,4-8,9-7
Monmouth (IL)*,14-6,.700,29-14-1,.670,L1,13-6,9-2-1,7-6
Grinnell*,13-6,.684,17-22,.436,L1,5-8,7-4,5-10
Cornell College,10-9,.526,17-21,.447,L1,8-8,6-12,3-1
Illinois Col.,8-11,.421,18-17,.514,W1,6-8,5-5,7-4
Knox,3-16,.158,11-24,.314,W1,4-11,5-8,2-5
