School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Beloit,0-0,.000,8-1,.889,W8,1-0,0-0,7-1
University of Chicago,0-0,.000,5-1,.833,L1,0-0,2-1,3-0
St. Norbert College,0-0,.000,2-1,.667,W2,0-0,0-1,2-0
Lawrence,0-0,.000,1-3,.250,L2,0-0,0-0,1-3
Ripon,0-0,.000,0-0,.000,,0-0,0-0,0-0
Grinnell,0-0,.000,5-3,.625,W1,3-1,2-2,0-0
Monmouth (IL),0-0,.000,6-4,.600,W1,0-0,0-0,6-4
Knox,0-0,.000,1-2,.333,W1,0-0,1-1,0-1
Cornell College,0-0,.000,2-7,.222,L5,0-0,1-2,1-5
Illinois Col.,0-0,.000,2-7,.222,L1,0-1,0-0,2-6
