School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Lawrence*^,20-3,.870,31-11,.738,L2,8-2,14-3,9-6
University of Chicago*,16-8,.667,19-24,.442,L1,8-7,10-13,1-4
Beloit*,14-10,.583,24-17,.585,L2,3-4,12-8,9-5
Cornell College*,13-11,.542,23-18,.561,L2,7-6,10-6,6-6
Ripon,11-12,.478,15-21,.417,L1,8-5,4-9,3-7
Monmouth (IL),10-14,.417,17-21,.447,L3,7-9,5-8,5-4
Grinnell,9-14,.391,16-23,.410,W1,6-7,4-13,6-3
Illinois Col.,8-15,.348,21-18,.538,L1,12-9,5-7,4-2
Knox,5-19,.208,11-27,.289,W1,4-12,2-9,5-6
