School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Beloit#,19-3,.864,24-6,.800,L2,12-3,12-3,0-0
University of Chicago,14-6,.700,19-10,.655,L3,8-6,10-2,1-2
St. Norbert College,11-11,.500,17-16,.515,L4,8-7,6-9,3-0
Lawrence,8-16,.333,15-19,.441,W2,6-8,4-10,5-1
Ripon,4-20,.167,8-29,.216,L2,2-10,3-15,3-4
Grinnell,16-8,.667,16-8,.667,W10,8-4,8-4,0-0
Illinois Col.,16-8,.667,21-19,.525,L2,12-11,9-6,0-2
Monmouth (IL),15-9,.625,17-11,.607,L1,10-4,7-5,0-2
Cornell College,11-13,.458,14-24,.368,L5,6-6,8-17,0-1
Knox,2-22,.083,4-30,.118,W1,4-16,0-14,0-0
