School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Beloit*^,20-4,.833,31-14,.689,L2,19-4,8-4,4-6
Ripon*,15-9,.625,25-18,.581,L1,6-2,9-9,10-7
University of Chicago*,15-9,.625,25-18,.581,L2,8-4,12-10,5-4
Grinnell*,14-10,.583,18-21,.462,L2,8-7,9-6,1-8
Cornell College,11-13,.458,21-19,.525,W1,8-6,5-6,8-7
Monmouth (IL),11-13,.458,16-23,.410,L3,5-8,7-6,4-9
Illinois Col.,11-13,.458,15-25,.375,L5,9-11,4-9,2-5
Lawrence,10-14,.417,15-22,.405,L1,2-7,7-5,6-10
Knox,1-23,.042,7-32,.179,L16,3-10,0-18,4-4
