Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2018,Edgewood College,1-1,1,1,3,12,0.083,5,0.417,1-0,0,0-0,1196
9/1/2018,Coe,2-0,2,2,6,11,0.182,7,0.636,1-0,1,0-0,990
9/6/2018,Carleton,1-0,1,1,3,23,0.043,8,0.348,0-0,1,0-0,1078
9/9/2018,Buena Vista,0-4,0,0,0,2,0.0,1,0.5,1-0,0,0-0,991
9/13/2018,Simpson,0-2,0,0,0,5,0.0,3,0.6,0-0,0,0-0,991
9/19/2018,Central,2-1,2,1,5,25,0.08,5,0.2,0-0,1,1-1,1029
9/22/2018,Beloit,1-4,1,0,2,12,0.083,8,0.667,1-0,0,0-0,991
9/29/2018,Lake Forest,0-1,0,0,0,7,0.0,4,0.571,0-0,0,0-0,990
9/30/2018,Lawrence,0-2,0,0,0,3,0.0,1,0.333,0-0,0,0-0,991
10/6/2018,Knox,2-1,2,1,5,17,0.118,13,0.765,1-0,1,1-1,1078
10/13/2018,Ripon College,2-3,2,1,5,9,0.222,8,0.889,0-0,0,1-1,967
10/14/2018,St. Norbert College,2-1,2,1,5,15,0.133,0,0.0,0-0,1,1-1,0
10/17/2018,St. Olaf,2-1,2,2,6,18,0.111,7,0.389,0-0,1,0-0,1066
10/20/2018,Monmouth (IL),1-2,1,0,2,9,0.111,5,0.556,0-0,0,0-0,1088
10/23/2018,Cornell College,1-2,1,1,3,5,0.2,3,0.6,0-0,0,0-0,1018
10/27/2018,Illinois College,0-6,0,0,0,4,0.0,2,0.5,0-0,0,0-0,990
11/2/2018,St. Norbert College,2-1,2,2,6,12,0.167,3,0.25,0-0,1,0-0,999
Total,,19-32,19,13,51,189,0.101,83,0.439,5-0,7,4-4,16453
Grinnell College,,-,32,29,93,261,0.123,134,0.513,0-0,9,-,16417
