Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/31/2018,vs Edgewood College,1-1,1,1,3,22,0.045,8,0.364,0-0,0,0-0,1212
9/1/2018,vs Coe,0-2,0,0,0,11,0.0,6,0.545,0-0,0,0-0,999
9/6/2018,vs Carleton,0-1,0,0,0,2,0.0,2,1.0,0-0,0,0-0,1078
9/9/2018,at Buena Vista,4-0,4,2,10,22,0.182,15,0.682,0-0,1,0-0,992
9/13/2018,at Simpson,2-0,2,1,5,8,0.25,5,0.625,0-0,1,0-0,990
9/19/2018,at Central,1-2,1,1,3,12,0.083,5,0.417,0-0,0,0-0,1012
9/22/2018,at Beloit,4-1,4,4,12,10,0.4,5,0.5,0-0,1,0-0,990
9/29/2018,vs Lake Forest,1-0,1,1,3,9,0.111,4,0.444,0-0,1,0-0,990
9/30/2018,vs Lawrence,2-0,2,1,5,39,0.051,19,0.487,0-0,1,0-0,990
10/6/2018,vs Knox,1-2,1,1,3,8,0.125,4,0.5,0-0,0,0-0,1078
10/13/2018,at Ripon College,3-2,3,4,10,19,0.158,15,0.789,0-0,1,0-0,970
10/14/2018,at St. Norbert College,1-2,1,1,3,10,0.1,0,0.0,0-0,0,0-0,0
10/17/2018,at St. Olaf,1-2,1,1,3,5,0.2,3,0.6,0-0,0,0-0,1046
10/20/2018,vs Monmouth (IL),2-1,2,2,6,16,0.125,8,0.5,0-0,1,0-0,1088
10/23/2018,at Cornell College,2-1,2,2,6,10,0.2,4,0.4,0-0,1,0-0,1001
10/27/2018,vs Illinois College,6-0,6,6,18,48,0.125,27,0.563,0-0,1,0-0,990
11/2/2018,vs St. Norbert College,1-2,1,1,3,10,0.1,4,0.4,0-0,0,0-0,991
Total,,32-19,32,29,93,261,0.123,134,0.513,0-0,9,0-0,16417
Opponent,,-,19,13,51,189,0.101,83,0.439,5-0,7,-,16453
