0,1,2
POINTS,18,Illinois College (10/27/2018)
GOALS,6,Illinois College (10/27/2018)
ASSISTS,6,Illinois College (10/27/2018)
SHOTS,48,Illinois College (10/27/2018)
SHOTS ON GOAL,27,Illinois College (10/27/2018)
SAVES,11,Knox (10/6/2018)
FOULS,12,Beloit (9/22/2018)
CORNER KICKS,17,Lawrence (9/30/2018)
