#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Hunt, Elizabeth 1Hunt, Elizabeth",17,17,1544:14,19,1.11,70,0.787,9.0,7.0,1.0,3/2,179,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",2,0,37:48,0,0.0,0,0.0,0.0,0.0,0.0,0/2,1,View Bio
,Total,17,-,1582:02,19,1.08,70,0.787,9.0,7.0,1.0,5,180,
,Opponents,17,-,1582:02,32,1.82,106,0.768,,,,2,255,
