Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/31/2018,vs Edgewood College,T,1-1,(0-0-1),,134,Regan Kasprak (0) (Simona Bambi)
9/1/2018,vs Coe,L,0-2,(0-1-1),,148,
9/6/2018,vs Carleton,L,0-1,(0-2-1),,76,
9/9/2018,at Buena Vista,W,4-0,(1-2-1),,220,Gwen Holtzman (1) (Regan Kasprak)  Valencia Alvarez (1) (Regan Kasprak)  Alyssa Radakovich (1) Quinn Berleman-Paul (1)
9/13/2018,at Simpson,W,2-0,(2-2-1),,101,Jordan Maddaus (1) Valencia Alvarez (2) (Jordan Maddaus)
9/19/2018,at Central,L,1-2,(2-3-1),,150,Elyse Salpekar (1) (Esme Kayim-Yanko)
9/22/2018,at Beloit,W,4-1,"(3-3-1, 1-0-0)",1-0-0,100,Valencia Alvarez (3) (Elyse Salpekar)  Simona Bambi (1) (Jordan Maddaus)  Alyssa Radakovich (2) (Simona Bambi)  Elyse Salpekar (2) (Valencia Alvarez)
9/29/2018,vs Lake Forest,W,1-0,"(4-3-1, 2-0 MWC)",2-0 MWC,98,Elyse Salpekar (3) (Jordan Maddaus)
9/30/2018,vs Lawrence,W,2-0,"(5-3-1, 3-0 MWC)",3-0 MWC,87,Gwen Holtzman (2) (Simona Bambi)  Esme Kayim-Yanko (1)
10/6/2018,vs Knox,L,1-2,"(5-4-1, 3-1 MWC)",3-1 MWC,53,Simona Bambi (2) (Jordan Maddaus)
10/13/2018,at Ripon College,W,3-2,"(6-4-1, 4-1-0 MWC)",4-1-0 MWC,117,"Valencia Alvarez (4) (Simona Bambi , Eliza Bunnell)  Jordan Maddaus (1) (Hope Nowak)  Jordan Maddaus (2) (Elyse Salpekar)"
10/14/2018,at St. Norbert College,L,1-2,"(6-5-1, 4-2 MWC)",4-2 MWC,115,Jordan Maddaus (3) (Elyse Salpekar)
10/17/2018,at St. Olaf,L,1-2,(6-6-1),,133,Jordan Maddaus (5) (Valencia Alvarez)
10/20/2018,vs Monmouth (IL),W,2-1,"(7-6-1, 5-2-0 MWC)",5-2-0 MWC,49,Esme Kayim-Yanko (2) (Valencia Alvarez)  Valencia Alvarez (5) (Jordan Maddaus)
10/23/2018,at Cornell College,W,2-1,"(8-6-1, 6-2 MWC)",6-2 MWC,62,Gwen Holtzman (3) (Esme Kayim-Yanko)  Jordan Maddaus (6) (Valencia Alvarez)
10/27/2018,vs Illinois College,W,6-0,"(9-6-1, 7-2 MWC)",7-2 MWC,146,Jordan Maddaus (7) (Valencia Alvarez)  Elyse Salpekar (4) (Jordan Maddaus)  Gwen Holtzman (4) (Esme Kayim-Yanko)  Jordan Maddaus (8) (Michellie Thurman)  Gwen Holtzman (5) (Esme Kayim-Yanko)  Jordan Maddaus (9) (Valencia Alvarez)
11/2/2018,vs St. Norbert College,L,1-2,(9-7-1),,100,Lauren Edwards (1) (Michellie Thurman)
