Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2018,Edgewood College,1-1,110:00,1,0.82,7,0.875,0,0,1,0,22
9/1/2018,Coe,2-0,90:00,0,0.45,6,1.0,1,0,0,1,11
9/6/2018,Carleton,1-0,98:05,0,0.3,2,1.0,1,0,0,1,2
9/9/2018,Buena Vista,0-4,90:00,4,1.16,11,0.733,0,1,0,0,22
9/13/2018,Simpson,0-2,90:00,2,1.32,3,0.6,0,1,0,0,8
9/19/2018,Central,2-1,92:04,1,1.26,4,0.8,1,0,0,0,12
9/22/2018,Beloit,1-4,90:00,4,1.64,1,0.2,0,1,0,0,10
9/29/2018,Lake Forest,0-1,90:00,1,1.56,3,0.75,0,1,0,0,9
9/30/2018,Lawrence,0-2,90:00,2,1.61,17,0.895,0,1,0,0,39
10/6/2018,Knox,2-1,98:05,1,1.53,3,0.75,1,0,0,0,8
10/13/2018,Ripon College,2-3,90:00,3,1.66,12,0.8,0,1,0,0,19
10/14/2018,St. Norbert College,2-1,90:00,1,1.61,3,0.75,1,0,0,0,4
10/17/2018,St. Olaf,2-1,95:00,1,1.56,2,0.667,1,0,0,0,5
10/20/2018,Monmouth (IL),1-2,98:48,2,1.58,6,0.75,0,1,0,0,16
10/23/2018,Cornell College,1-2,90:00,2,1.6,2,0.5,0,1,0,0,10
10/27/2018,Illinois College,0-6,90:00,6,1.87,21,0.778,0,1,0,0,48
11/2/2018,St. Norbert College,2-1,90:00,1,1.82,3,0.75,1,0,0,0,10
Totals,,-,1581,32,1.82,106,0.768,7,9,1,2,255
Grinnell College,,-,1582:02,19,1.08,71,0.789,9,7,1,5,180
