Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/31/2018,Edgewood College,1-1,110:00,1,0.82,4,0.8,0,0,1,0,12
9/1/2018,Coe,0-2,90:00,2,1.35,5,0.714,0,1,0,0,11
9/6/2018,Carleton,0-1,98:05,1,1.21,7,0.875,0,1,0,0,23
9/9/2018,Buena Vista,4-0,90:00,0,0.93,1,1.0,1,0,0,1,2
9/13/2018,Simpson,2-0,90:00,0,0.75,3,1.0,1,0,0,1,5
9/19/2018,Central,1-2,92:04,2,0.95,3,0.6,0,1,0,0,24
9/22/2018,Beloit,4-1,90:00,1,0.95,7,0.875,1,0,0,0,14
9/29/2018,Lake Forest,1-0,90:00,0,0.84,4,1.0,1,0,0,1,7
9/30/2018,Lawrence,2-0,90:00,0,0.75,1,1.0,1,0,0,1,3
10/6/2018,Knox,1-2,98:05,2,0.86,11,0.846,0,1,0,0,16
10/13/2018,Ripon College,3-2,90:00,2,0.96,6,0.75,1,0,0,0,8
10/14/2018,St. Norbert College,1-2,90:00,2,1.05,5,0.714,0,1,0,0,7
10/17/2018,St. Olaf,1-2,95:00,2,1.11,5,0.714,0,1,0,0,18
10/20/2018,Monmouth (IL),2-1,98:48,1,1.1,4,0.8,1,0,0,0,9
10/23/2018,Cornell College,2-1,90:00,1,1.09,2,0.667,1,0,0,0,5
10/27/2018,Illinois College,6-0,90:00,0,1.03,2,1.0,1,0,0,1,4
11/2/2018,St. Norbert College,1-2,90:00,2,1.08,1,0.333,0,1,0,0,12
Totals,,-,1581,19,1.08,71,0.789,9,7,1,5,180
Opponent,,-,1582:02,32,1.82,106,0.768,7,9,1,2,255
