#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Hunt, Elizabeth 1Hunt, Elizabeth",9,9,810:04,9,1.0,41,0.82,7.0,2.0,0.0,2/1,73,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",1,0,16:49,0,0.0,0,0.0,0.0,0.0,0.0,0/1,0,View Bio
,Total,9,-,826:53,9,0.98,41,0.82,7.0,2.0,0.0,3,73,
,Opponents,9,-,826:53,22,2.39,68,0.756,,,,0,163,
