Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/31/2018,vs Edgewood College,1-1,1/1,1/1,22/12,8/5,7/7,0/1,0/0
9/1/2018,vs Coe,0-2,0/2,0/2,11/11,6/7,3/9,0/1,0/0
9/6/2018,vs Carleton,0-1,0/1,0/1,2/23,2/8,2/13,0/0,0/0
9/9/2018,at Buena Vista,4-0,4/0,2/0,22/2,15/1,5/2,0/1,0/0
9/13/2018,at Simpson,2-0,2/0,1/0,8/5,5/3,5/2,0/0,0/0
9/19/2018,at Central,1-2,1/2,1/1,12/25,5/5,1/8,0/0,0/0
9/22/2018,at Beloit,4-1,4/1,4/0,10/12,5/8,3/7,0/1,0/0
9/29/2018,vs Lake Forest,1-0,1/0,1/0,9/7,4/4,5/3,0/0,0/0
9/30/2018,vs Lawrence,2-0,2/0,1/0,39/3,19/1,17/1,0/0,0/0
10/6/2018,vs Knox,1-2,1/2,1/1,8/17,4/13,4/7,0/1,0/0
10/13/2018,at Ripon College,3-2,3/2,4/1,19/9,15/8,5/4,0/0,0/0
10/14/2018,at St. Norbert College,1-2,1/2,1/1,10/15,0/0,6/3,0/0,0/0
10/17/2018,at St. Olaf,1-2,1/2,1/2,5/18,3/7,2/4,0/0,0/0
10/20/2018,vs Monmouth (IL),2-1,2/1,2/0,16/9,8/5,5/1,0/0,0/0
10/23/2018,at Cornell College,2-1,2/1,2/1,10/5,4/3,5/2,0/0,0/0
10/27/2018,vs Illinois College,6-0,6/0,6/0,48/4,27/2,11/2,0/0,0/0
11/2/2018,vs St. Norbert College,1-2,1/2,1/2,10/12,4/3,4/3,0/0,0/0
Totals,,,32/19,29/13,261/189,134/83,90/78,0/5,0/0
