Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,32,19
Goals Per Game G/AVG,1.88,1.12
Shots SH,261,189
Shots Per Game SH/AVG,15.4,11.1
Shots Percentage SH%,0.123,0.101
Shots On Goal SOG,134-261,83-189
Shots On Goal Percentage SOG%,0.513,0.439
Penalties,Penalties,Penalties
Yellow Cards YC,0,5
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,29,13
Saves S,66,103
Fouls F,102,105
Corner Kicks CK,90,78
Penalty Kicks: Goals-Attempts PG-PA,0-0,4-4
