0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Kavya Keshav,15,1174,73,-,7,1,1,3,+6,78.3,15,1174,78.3
Mary Li,15,1176,74,-,7,-,3,3,+6,78.4,27,2108,78.1
Lauren Chen,11,864,74,-,5,-,2,2,+7,78.5,32,2526,78.9
Vidushi Keni,13,1030,72,1,6,-,1,2,+7,79.2,13,1030,79.2
Amy Nguyen,7,565,77,-,3,-,-,1,+9,80.7,7,565,80.7
Parker Perry,9,734,75,-,4,-,-,1,+10,81.6,25,2049,82.0
Sara Meneses,12,999,78,-,6,-,-,1,+11,83.3,12,999,83.3
Aubrie Torhorst,13,1095,72,1,6,-,-,1,+12,84.2,40,3301,82.5
Zoe Robinson,7,590,79,-,3,-,-,-,+12,84.3,32,2762,86.3
Lexi Mueldener,9,770,79,-,4,-,-,-,+14,85.6,34,2938,86.4
FOUR-PLAYER TEAM,15,4716,294,2,7,1,7,14,+26,314.4,,,
