Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"February 8, 2003 (Saturday)",,Away,St. Mary's,,,,,"L,3-6",
"February 14, 2003 (Friday)",,Home,Southwest State,,,,,"L,3-6",
"February 25, 2003 (Tuesday)",,Away,Bethel,,,,,"L,0-9",
"March 1, 2003 (Saturday)",,Away,St. Thomas,,,,,"L,0-9",
"March 1, 2003 (Saturday)",,Neutral,Minnesota-Duluth,,,,,"L,2-7",
"March 8, 2003 (Saturday)",,Home,Minnesota State-Moorhead,,,,,"W,5-4",
"March 28, 2003 (Friday)",,Home,St. Cloud State,,,,,"L,2-7",
"March 30, 2003 (Sunday)",,Home,Minnesota-Morris,,,,,"W,2-7",
"April 5, 2003 (Saturday)",,Home,Concordia,,,,,"L,4-5",
"April 7, 2003 (Monday)",,Home,St. Catherine,,,,,"L,0-9",
"April 11, 2003 (Friday)",,Home,St. Benedict,,,,,"L,2-7",
"April 12, 2003 (Saturday)",,Away,St. Olaf,,,,,"L,2-7",
"April 14, 2003 (Monday)",,Away,Gustavus Adolphus,,,,,"L,0-9",
"April 15, 2003 (Tuesday)",,Home,Hamline,,,,,"W,5-4",
"April 17, 2003 (Thursday)",,Home,Carleton,,,,,"L,0-9",
"April 21, 2003 (Monday)",,Home,Wisconsin-Stout,,,,,"W,9-0",
"April 25, 2003 (Friday)",,Neutral,Concordia,,,,MIAC Playoffs,"L,2-7",
"April 25, 2003 (Friday)",,Neutral,Hamline,,,,MIAC Playoffs,"L,1-8",
