#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
0.0,"Manley, Devon 0Manley, Devon",2,0,22:59,0,0.0,1,1.0,0.0,0.0,0.0,0/2,3,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",10,10,897:01,6,0.6,63,0.913,6.0,3.0,1.0,4/2,90,View Bio
,Total,10,-,920:00,6,0.59,64,0.914,6.0,3.0,1.0,6,93,
,Opponents,10,-,920:00,14,1.37,63,0.818,,,,2,122,
