Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/29/2014,at Simpson,2-1,2,1,5,7,0.286,3,0.429,1-0,1,0-0,1122
9/5/2014,at Macalester,2-3,2,1,5,12,0.167,5,0.417,1-0,0,0-0,1012
9/7/2014,at Carleton College,0-1,0,0,0,4,0.0,1,0.25,0-0,0,0-0,926
9/11/2014,at Central College,0-1,0,0,0,7,0.0,3,0.429,0-0,0,0-0,992
9/13/2014,vs Augsburg College,1-0,1,1,3,7,0.143,6,0.857,1-0,1,0-0,1098
9/20/2014,vs Knox College,3-0,3,4,10,23,0.13,9,0.391,0-0,1,0-0,991
9/21/2014,vs Wartburg College,0-3,0,0,0,8,0.0,4,0.5,0-0,0,0-0,987
9/27/2014,vs Illinois College,3-0,3,2,8,16,0.188,10,0.625,0-0,1,0-0,990
9/28/2014,vs Cornell College,1-0,1,2,4,6,0.167,3,0.5,1-0,1,0-0,991
10/4/2014,at Lake Forest,1-2,1,1,3,9,0.111,3,0.333,0-0,0,0-0,990
10/5/2014,at Carroll University,0-2,0,0,0,6,0.0,3,0.5,1-0,0,0-0,1037
10/11/2014,at Beloit College,2-0,2,1,5,18,0.111,9,0.5,0-0,1,0-0,976
10/12/2014,at Rockford University,8-0,8,4,20,41,0.195,23,0.561,0-0,1,1-1,937
10/18/2014,vs Lawrence University,2-0,2,1,5,21,0.095,13,0.619,0-0,1,0-1,985
10/19/2014,vs St. Norbert College,0-0,0,0,0,24,0.0,13,0.542,0-0,0,0-0,1217
10/25/2014,at Monmouth College,1-0,1,0,2,15,0.067,5,0.333,1-0,1,0-0,0
11/1/2014,at Ripon College,1-2,1,0,2,18,0.056,10,0.556,1-0,0,0-0,0
11/7/2014,at Lake Forest,1-7,1,0,2,10,0.1,4,0.4,0-0,0,1-1,989
Total,,28-22,28,18,74,252,0.111,127,0.504,7-0,9,2-3,16240
Opponent,,-,22,19,63,235,0.094,142,0.604,3-1,8,-,16303
