Statistic,High,Opponent
POINTS,20,Rockford University (10/12/2014)
GOALS,8,Rockford University (10/12/2014)
ASSISTS,4,Knox College (9/20/2014) Rockford University (10/12/2014)
SHOTS,41,Rockford University (10/12/2014)
SHOTS ON GOAL,23,Rockford University (10/12/2014)
SAVES,12,Carroll University (10/5/2014)
FOULS,12,Beloit College (10/11/2014)
CORNER KICKS,14,Rockford University (10/12/2014)
