#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
0.0,"Manley, Devon 0Manley, Devon",4,0,80:36,0,0.0,1,1.0,0.0,0.0,0.0,0/3,3,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",18,18,1584:48,22,1.25,112,0.836,9.0,8.0,1.0,5/3,190,View Bio
,Total,18,-,1665:24,22,1.19,113,0.837,9.0,8.0,1.0,8,193,
,Opponents,18,-,1665:24,28,1.51,97,0.776,,,,5,207,
