Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/29/2014,at Simpson,W,2-1,(1-0-0),,76,Carolyn Silverman (1) (Nora Sahel)  Dabney Hofammann (1)
9/5/2014,at Macalester,L,2-3,(1-1-0),,122,Elle Silverman (0) Lilyrose Weiss (1) (Dabney Hofammann)
9/7/2014,at Carleton College,L,0-1,(1-2-0),,143,
9/11/2014,at Central College,L,0-1,(1-3),,125,
9/13/2014,vs Augsburg College,W,1-0,(2-3-0),,89,Kitt Richards (0) (Carolyn Silverman)
9/20/2014,vs Knox College,W,3-0,"(4-3-0, 1-0-0 MWC)",1-0-0 MWC,57,"Kristen Stacey (0) (Carolyn Silverman)  Julia Sauerhaft (0) (Andie Semlow , Lilyrose Weiss)  Nora Sahel (0) (Andie Semlow)"
9/21/2014,vs Wartburg College,L,0-3,(4-4-0),,57,
9/27/2014,vs Illinois College,W,3-0,"(5-4-0, 2-0-0 MWC)",2-0-0 MWC,109,Carolyn Silverman (0) (Dabney Hofammann)  Annika Helverson (0) Izzie Pfeiffer (0) (Kitt Richards)
9/28/2014,vs Cornell College,W,1-0,"(6-4-0, 3-0 MWC)",3-0 MWC,89,"Dabney Hofammann (0) (Carolyn Silverman , Sarah Jensen)"
10/4/2014,at Lake Forest,L,1-2,"(6-5-0,3-1-0)",3-1-0,183,Lilyrose Weiss (2) (Kristen Stacey)
10/5/2014,at Carroll University,L,0-2,"(6-6-0, 3-2-0 MWC)",3-2-0 MWC,45,
10/11/2014,at Beloit College,W,2-0,"(7-6-0, 4-2-0 MWC)",4-2-0 MWC,75,Annika Helverson (0) Eva Smith (0) (Lauren Hurley)
10/12/2014,at Rockford University,W,8-0,(8-6),,45,Elle Silverman (0) Carolyn Silverman (0) Sarah Jensen (0) (Elle Silverman)  Annika Helverson (0) (Elle Silverman)  Elle Silverman (0) Dabney Hofammann (0) (Elle Silverman)  Carolyn Silverman (0) (Sarah Jensen)  Francesca Varias (0)
10/18/2014,vs Lawrence University,W,2-0,"(9-6-0, 5-2-0 MWC)",5-2-0 MWC,89,Carolyn Silverman (0) Francesca Varias (0) (Dabney Hofammann)
10/19/2014,vs St. Norbert College,T,0-0,"(9-6-1, 5-2-1 MWC)",5-2-1 MWC,88,
10/25/2014,at Monmouth College,W,1-0,"(10-6-1, 6-2-1)",6-2-1,90,Kristen Stacey (3)
11/1/2014,at Ripon College,L,1-2,"(10-7-1, 6-3-1 MWC)",6-3-1 MWC,157,Carolyn Silverman (8)
11/7/2014,at Lake Forest,L,1-7,(10-8-1),,123,Maddie Gray (1)
