Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,28,22
Goals Per Game G/AVG,1.56,1.22
Shots SH,252,235
Shots Per Game SH/AVG,14.0,13.1
Shots Percentage SH%,0.111,0.094
Shots On Goal SOG,127-252,142-235
Shots On Goal Percentage SOG%,0.504,0.604
Penalties,Penalties,Penalties
Yellow Cards YC,7,3
Red Cards RC,0,1
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,18,19
Saves S,120,99
Fouls F,121,113
Corner Kicks CK,67,86
Penalty Kicks: Goals-Attempts PG-PA,2-3,1-1
