Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/29/2014,at Simpson,2-1,2/1,1/0,7/9,3/3,0/0,1/0,0/0
9/5/2014,at Macalester,2-3,2/3,1/3,12/25,5/14,1/6,1/1,0/0
9/7/2014,at Carleton College,0-1,0/1,0/0,4/13,1/8,3/8,0/0,0/0
9/11/2014,at Central College,0-1,0/1,0/1,7/13,3/6,2/7,0/0,0/0
9/13/2014,vs Augsburg College,1-0,1/0,1/0,7/21,6/11,1/9,1/0,0/0
9/20/2014,vs Knox College,3-0,3/0,4/0,23/4,9/1,6/1,0/0,0/0
9/21/2014,vs Wartburg College,0-3,0/3,0/1,8/18,4/14,3/4,0/0,0/0
9/27/2014,vs Illinois College,3-0,3/0,2/0,16/9,10/5,1/3,0/0,0/0
9/28/2014,vs Cornell College,1-0,1/0,2/0,6/18,3/11,2/5,1/0,0/1
10/4/2014,at Lake Forest,1-2,1/2,1/0,9/21,3/11,0/14,0/0,0/0
10/5/2014,at Carroll University,0-2,0/2,0/2,6/17,3/14,1/3,1/0,0/0
10/11/2014,at Beloit College,2-0,2/0,1/0,18/4,9/4,9/3,0/0,0/0
10/12/2014,at Rockford University,8-0,8/0,4/0,41/1,23/1,14/1,0/1,0/0
10/18/2014,vs Lawrence University,2-0,2/0,1/0,21/7,13/6,1/2,0/1,0/0
10/19/2014,vs St. Norbert College,0-0,0/0,0/0,24/15,13/9,7/5,0/0,0/0
10/25/2014,at Monmouth College,1-0,1/0,0/0,15/5,5/5,7/6,1/0,0/0
11/1/2014,at Ripon College,1-2,1/2,0/2,18/19,10/9,6/5,1/0,0/0
11/7/2014,at Lake Forest,1-7,1/7,0/10,10/16,4/10,3/4,0/0,0/0
Totals,,,28/22,18/19,252/235,127/142,67/86,7/3,0/1
