Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/29/2014,Simpson,1-2,102:05,2,1.76,1,0.333,0,1,0,0,7
9/5/2014,Macalester,3-2,93:45,2,1.84,3,0.6,1,0,0,0,12
9/7/2014,Carleton College,1-0,90:00,0,1.26,1,1.0,1,0,0,1,4
9/11/2014,Central College,1-0,90:00,0,0.96,3,1.0,1,0,0,1,7
9/13/2014,Augsburg College,0-1,99:34,1,0.95,5,0.833,0,1,0,0,7
9/20/2014,Knox College,0-3,90:00,3,1.27,6,0.667,0,1,0,0,23
9/21/2014,Wartburg College,3-0,90:00,0,1.1,4,1.0,1,0,0,1,8
9/27/2014,Illinois College,0-3,90:00,3,1.33,7,0.7,0,1,0,0,16
9/28/2014,Cornell College,0-1,90:00,1,1.29,2,0.667,0,1,0,0,6
10/4/2014,Lake Forest,2-1,90:00,1,1.26,2,0.667,1,0,0,0,9
10/5/2014,Carroll University,2-0,90:00,0,1.15,3,1.0,1,0,0,1,6
10/11/2014,Beloit College,0-2,90:00,2,1.22,7,0.778,0,1,0,0,18
10/12/2014,Rockford University,0-8,90:00,8,1.73,15,0.652,0,1,0,0,40
10/18/2014,Lawrence University,0-2,90:00,2,1.75,11,0.846,0,1,0,0,20
10/19/2014,St. Norbert College,0-0,110:00,0,1.61,13,1.0,0,0,1,1,24
10/25/2014,Monmouth College,0-1,90:00,1,1.58,4,0.8,0,1,0,0,0
11/1/2014,Ripon College,2-1,90:00,1,1.54,9,0.9,1,0,0,0,0
11/7/2014,Lake Forest,7-1,90:00,1,1.51,3,0.75,1,0,0,0,0
Totals,,-,1664,28,1.51,99,0.78,8,9,1,5,207
Grinnell College,,-,1665:24,22,1.19,120,0.845,9,8,1,8,193
