Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/29/2014,Simpson,1-2,1,0,2,9,0.111,3,0.333,0-0,0,0-0,1122
9/5/2014,Macalester,3-2,3,3,9,25,0.12,14,0.56,1-0,1,0-0,1033
9/7/2014,Carleton College,1-0,1,0,2,13,0.077,8,0.615,0-0,1,0-0,990
9/11/2014,Central College,1-0,1,1,3,13,0.077,6,0.462,0-0,1,0-0,989
9/13/2014,Augsburg College,0-1,0,0,0,21,0.0,11,0.524,0-0,0,0-0,1111
9/20/2014,Knox College,0-3,0,0,0,4,0.0,1,0.25,0-0,0,0-0,969
9/21/2014,Wartburg College,3-0,3,1,7,18,0.167,14,0.778,0-0,1,0-0,989
9/27/2014,Illinois College,0-3,0,0,0,9,0.0,5,0.556,0-0,0,0-0,998
9/28/2014,Cornell College,0-1,0,0,0,18,0.0,11,0.611,0-1,0,0-0,962
10/4/2014,Lake Forest,2-1,2,0,4,21,0.095,11,0.524,0-0,1,1-1,990
10/5/2014,Carroll University,2-0,2,2,6,17,0.118,14,0.824,0-0,1,0-0,1010
10/11/2014,Beloit College,0-2,0,0,0,4,0.0,4,1.0,0-0,0,0-0,990
10/12/2014,Rockford University,0-8,0,0,0,1,0.0,1,1.0,1-0,0,0-0,960
10/18/2014,Lawrence University,0-2,0,0,0,7,0.0,6,0.857,1-0,0,0-0,990
10/19/2014,St. Norbert College,0-0,0,0,0,15,0.0,9,0.6,0-0,0,0-0,1210
10/25/2014,Monmouth College,0-1,0,0,0,5,0.0,5,1.0,0-0,0,0-0,0
11/1/2014,Ripon College,2-1,2,2,6,19,0.105,9,0.474,0-0,1,0-0,0
11/7/2014,Lake Forest,7-1,7,10,24,16,0.438,10,0.625,0-0,1,0-0,990
Total,,22-28,22,19,63,235,0.094,142,0.604,3-1,8,1-1,16303
Grinnell College,,-,28,18,74,252,0.111,127,0.504,7-0,9,-,16240
