Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/29/2014,Simpson,2-1,102:05,1,0.88,2,0.667,1,0,0,0,9
9/5/2014,Macalester,2-3,93:45,3,1.84,11,0.786,0,1,0,0,25
9/7/2014,Carleton College,0-1,90:00,1,1.57,7,0.875,0,1,0,0,13
9/11/2014,Central College,0-1,90:00,1,1.44,5,0.833,0,1,0,0,13
9/13/2014,Augsburg College,1-0,99:34,0,1.14,11,1.0,1,0,0,1,21
9/20/2014,Knox College,3-0,90:00,0,0.96,1,1.0,1,0,0,1,4
9/21/2014,Wartburg College,0-3,90:00,3,1.24,11,0.786,0,1,0,0,18
9/27/2014,Illinois College,3-0,90:00,0,1.09,5,1.0,1,0,0,1,9
9/28/2014,Cornell College,1-0,90:00,0,0.97,11,1.0,1,0,0,1,18
10/4/2014,Lake Forest,1-2,90:00,2,1.07,9,0.818,0,1,0,0,20
10/5/2014,Carroll University,0-2,90:00,2,1.15,12,0.857,0,1,0,0,16
10/11/2014,Beloit College,2-0,90:00,0,1.06,4,1.0,1,0,0,1,4
10/12/2014,Rockford University,8-0,90:00,0,0.98,1,1.0,1,0,0,1,1
10/18/2014,Lawrence University,2-0,90:00,0,0.91,6,1.0,1,0,0,1,7
10/19/2014,St. Norbert College,0-0,110:00,0,0.84,9,1.0,0,0,1,1,15
10/25/2014,Monmouth College,1-0,90:00,0,0.79,5,1.0,1,0,0,1,0
11/1/2014,Ripon College,1-2,90:00,2,0.86,7,0.778,0,1,0,0,0
11/7/2014,Lake Forest,1-7,90:00,7,1.19,3,0.3,0,1,0,0,0
Totals,,-,1664,22,1.19,120,0.845,9,8,1,9,193
Opponent,,-,1665:24,28,1.51,99,0.78,8,9,1,5,207
