Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:27.23,"Hardman, Braun, Crail, Silvia",16 Midwest Conference Championships,"May 13, 2016"
,3:27.48,"Hardman, Braun, silvia, Crail",Grinnell College Dick Young Classic,"Apr 23, 2016"
,3:28.30,"Hardman, Braun, silvia, Kolacia",2016 Kip Janvrin Open,"Apr 28, 2016"
,3:29.77,"Hardman, Braun, Silvia, Kolacia",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,3:32.27,"Hardman, Braun, silvia, Kolacia",2016 Jim Duncan Invitational,"Apr 15, 2016"
,3:33.11,"Hardman, Braun, silvia, Anderson",2016 Cornell Outdoor Invite,"Apr 9, 2016"
,3:46.36,"Baumann, Anderson, Gallagher, Bolster",Grinnell College Dick Young Classic,"Apr 23, 2016"
,3:51.61,"Bass, Brunet, Cernek, Margida",Grinnell College Dick Young Classic,"Apr 23, 2016"
,3:52.33,"Crail, Anderson, Baumann, O'Reilly",2016 Kip Janvrin Open,"Apr 28, 2016"
,3:59.48,"Anderson, Baumann, Crail, Margida",Monmouth College Fighting Scots Outdoor,"May 7, 2016"
