Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Hardman, Ed",JR-3,5.74m,"18' 10""",16 Midwest Conference Championships,"May 13, 2016",0.3
,"Hardman, Ed",JR-3,5.71m,"18' 9""",16 Midwest Conference Championships,"May 13, 2016",-0.5
,"Ogasawara, Ibuki",JR-3,5.40m,"17' 8.75""",2016 Kip Janvrin Open,"Apr 28, 2016",0.5
,"Hardman, Ed",JR-3,5.19m,"17' 0.5""",2016 Kip Janvrin Open,"Apr 28, 2016",0.4
,"Hardman, Ed",JR-3,5.14m,"16' 10.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",0.9
,"Hardman, Ed",JR-3,5.06m,"16' 7.25""",2016 Kip Janvrin Open,"Apr 28, 2016",1.8
,"Hardman, Ed",JR-3,5.05m,"16' 7""",Grinnell College Dick Young Classic,"Apr 23, 2016",1.4
,"Ogasawara, Ibuki",JR-3,5.05m,"16' 7""",2016 Kip Janvrin Open,"Apr 28, 2016",1.1
,"Hardman, Ed",JR-3,4.92m,"16' 1.75""",2016 Kip Janvrin Open,"Apr 28, 2016",0.3
,"Hardman, Ed",JR-3,3.29m,"10' 9.5""",2016 Cornell Outdoor Invite,"Apr 9, 2016",0.2
