Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2022,at Coe,3-0,3,2,8,11,0.273,8,0.727,2-0,1,1-1,990
09/03/2022,vs Elmhurst,0-1,0,0,0,9,0.0,3,0.333,4-0,0,0-0,990
9/7/2022,at Dubuque,1-3,1,1,3,14,0.071,5,0.357,1-0,0,0-0,990
09/10/2022,vs Central (IA),2-0,2,1,5,12,0.167,8,0.667,0-0,1,0-0,990
09/11/2022,vs Wis.-Eau Claire,0-2,0,0,0,5,0.0,1,0.2,4-0,0,0-0,990
09/17/2022,vs Neb. Wesleyan,0-2,0,0,0,17,0.0,2,0.118,1-0,0,0-0,990
09/18/2022,at Buena Vista,5-0,5,4,14,25,0.2,12,0.48,1-0,1,0-0,990
09/24/2022,at Illinois Col.,3-1,3,3,9,13,0.231,6,0.462,2-0,1,0-0,990
09/27/2022,vs Knox,1-0,1,1,3,12,0.083,6,0.5,0-0,1,0-0,990
10/04/2022,vs Cornell College,4-2,4,5,13,19,0.211,13,0.684,2-0,1,1-1,991
10/08/2022,vs Beloit,1-1,1,0,2,19,0.053,11,0.579,1-0,0,0-1,990
10/11/2022,at Monmouth (IL),3-1,3,2,8,15,0.2,11,0.733,2-0,1,0-0,990
10/15/2022,at Lawrence,1-0,1,0,2,12,0.083,8,0.667,1-0,1,0-0,990
10/16/2022,at Lakeland University,3-1,3,4,10,12,0.25,8,0.667,1-0,1,0-0,991
10/22/2022,at Ripon,2-3,2,2,6,6,0.333,5,0.833,2-0,0,0-0,991
10/23/2022,at Marian (WI),2-3,2,2,6,14,0.143,7,0.5,1-0,0,0-0,991
10/29/2022,vs Lake Forest,0-2,0,0,0,11,0.0,3,0.273,0-0,0,0-0,990
11/04/2022,vs Ripon,2-0,2,2,6,7,0.286,5,0.714,0-0,1,0-0,990
11/05/2022,at Lake Forest,1-2,1,1,3,11,0.091,6,0.545,0-0,0,0-0,990
Total,,34-24,34,30,98,244,0.139,128,0.525,25-0,10,2-3,18814
Opponent,,-,24,19,67,202,0.119,101,0.5,48-0,8,-,18813
