Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2022,Coe,0-3,90:00,3,3.0,5,0.625,0,1,0,0,10
09/03/2022,Elmhurst,1-0,90:00,0,1.5,3,1.0,1,0,0,1,9
9/7/2022,Dubuque,3-1,90:00,1,1.33,4,0.8,1,0,0,0,14
09/10/2022,Central (IA),0-2,90:00,2,1.5,6,0.75,0,1,0,0,12
09/11/2022,Wis.-Eau Claire,2-0,90:00,0,1.2,1,1.0,1,0,0,1,5
09/17/2022,Neb. Wesleyan,2-0,90:00,0,1.0,2,1.0,1,0,0,1,17
09/18/2022,Buena Vista,0-5,90:00,5,1.57,7,0.583,0,1,0,0,25
09/24/2022,Illinois Col.,1-3,90:00,3,1.75,3,0.5,0,1,0,0,13
09/27/2022,Knox,0-1,90:00,1,1.67,4,0.8,0,1,0,0,12
10/04/2022,Cornell College,2-4,90:00,4,1.9,9,0.692,0,1,0,0,19
10/08/2022,Beloit,1-1,90:00,1,1.82,10,0.909,0,0,1,0,19
10/11/2022,Monmouth (IL),1-3,90:00,3,1.92,8,0.727,0,1,0,0,15
10/15/2022,Lawrence,0-1,90:00,1,1.85,7,0.875,0,1,0,0,12
10/16/2022,Lakeland University,1-3,90:00,3,1.93,5,0.625,0,1,0,0,12
10/22/2022,Ripon,3-2,90:00,2,1.93,3,0.6,1,0,0,0,6
10/23/2022,Marian (WI),3-2,90:00,2,1.94,5,0.714,1,0,0,0,14
10/29/2022,Lake Forest,2-0,90:00,0,1.82,3,1.0,1,0,0,1,11
11/04/2022,Ripon,0-2,90:00,2,1.83,3,0.6,0,1,0,0,7
11/05/2022,Lake Forest,2-1,90:00,1,1.79,5,0.833,1,0,0,0,11
Totals,,-,1710,34,1.79,93,0.732,8,10,1,4,243
Grinnell,,-,1710:00,24,1.26,76,0.76,10,8,1,6,202
