Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,34,24
Goals Per Game G/AVG,1.79,1.26
Shots SH,244,202
Shots Per Game SH/AVG,12.8,10.6
Shots Percentage SH%,0.139,0.119
Shots On Goal SOG,128-244,101-202
Shots On Goal Percentage SOG%,0.525,0.500
Penalties,Penalties,Penalties
Yellow Cards YC,25,48
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,30,19
Saves S,77,94
Fouls F,162,171
Corner Kicks CK,107,77
Penalty Kicks: Goals-Attempts PG-PA,2-3,2-2
