#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Benson, Carter 1Benson, Carter",15,15,1305:00,18,1.24,55,0.753,8.0,7.0,0.0,5/1,156,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",5,4,293:19,3,0.92,15,0.833,2.0,0.0,1.0,0/1,28,View Bio
31.0,"Kunkel, Jayson 31Kunkel, Jayson",3,0,111:41,3,2.42,6,0.667,0.0,1.0,0.0,0/1,18,View Bio
,Total,19,-,1710:00,24,1.26,76,0.76,10.0,8.0,1.0,6,202,
,Opponents,19,-,1710:00,34,1.79,93,0.732,,,,4,243,
