#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Benson, Carter 1Benson, Carter",6,6,540:00,8,1.33,20,0.714,4.0,2.0,0.0,2/0,61,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",2,2,180:00,2,1.0,8,0.8,1.0,0.0,1.0,0/0,16,View Bio
,Total,8,-,720:00,10,1.25,28,0.737,5.0,2.0,1.0,2,77,
,Opponents,8,-,720:00,15,1.88,47,0.758,,,,1,107,
