Statistic,High,Player,Opponent
POINTS,5,"Maddux, Dylan",Cornell College (10/04/2022)
GOALS,2,"Noah Guyton Guyton, Noah Maddux, Dylan",Coe (9/1/2022) Illinois Col. (09/24/2022) Cornell College (10/04/2022)
ASSISTS,2,"Willoughby, Jaxon Maddux, Dylan Maddux, Dylan",Illinois Col. (09/24/2022) Lakeland University (10/16/2022) Ripon (10/22/2022)
SHOTS,8,"Guyton, Noah Guyton, Noah",Neb. Wesleyan (09/17/2022) Monmouth (IL) (10/11/2022)
SHOTS ON GOAL,5,"Noah Guyton Guyton, Noah",Coe (9/1/2022) Monmouth (IL) (10/11/2022)
SAVES,8,"Benson, Carter Benson, Carter",Wis.-Eau Claire (09/11/2022) Lake Forest (11/05/2022)
FOULS,4,"Fahmy, Nick Bambi, Matias",Marian (WI) (10/23/2022) Lake Forest (11/05/2022)
