#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
11.0,"Guyton, Noah 11Guyton, Noah",19,19,1557,11,4,26,82,0.134,38,0.463,3-0,3,1-1,View Bio
10.0,"Maddux, Dylan 10Maddux, Dylan",17,17,1302,5,6,16,28,0.179,14,0.5,2-0,3,1-2,View Bio
15.0,"Willoughby, Jaxon 15Willoughby, Jaxon",17,16,904,4,5,13,21,0.19,15,0.714,1-0,0,0-0,View Bio
17.0,"Heller, Sam 17Heller, Sam",16,3,442,2,2,6,8,0.25,3,0.375,0-0,1,0-0,View Bio
24.0,"Bambi, Matias 24Bambi, Matias",19,19,1430,2,1,5,18,0.111,9,0.5,1-0,0,0-0,View Bio
5.0,"Murphy, Peter 5Murphy, Peter",19,19,1488,2,1,5,17,0.118,9,0.529,1-0,0,0-0,View Bio
8.0,"Liu Nowakoski, Alex 8Liu Nowakoski, Alex",17,1,483,2,1,5,9,0.222,6,0.667,1-0,0,0-0,View Bio
23.0,"Hoereth, Caleb 23Hoereth, Caleb",16,15,1273,1,2,4,5,0.2,3,0.6,2-0,1,0-0,View Bio
7.0,"Miseda, Jimmy 7Miseda, Jimmy",10,1,284,1,1,3,5,0.2,4,0.8,0-0,0,0-0,View Bio
25.0,"Bernardo, Antonio 25Bernardo, Antonio",12,4,345,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
27.0,"Burns, Caleb 27Burns, Caleb",12,8,543,1,0,2,4,0.25,2,0.5,0-0,0,0-0,View Bio
3.0,"Cherres, Billy 3Cherres, Billy",10,9,784,0,2,2,8,0.0,5,0.625,4-0,0,0-0,View Bio
18.0,"Matsunaga, Ryota 18Matsunaga, Ryota",17,7,823,1,0,2,5,0.2,2,0.4,2-0,1,0-0,View Bio
28.0,"Nihei, Braden 28Nihei, Braden",10,1,324,0,2,2,0,0.0,0,0.0,1-0,0,0-0,View Bio
29.0,"Suzuki, Soma 29Suzuki, Soma",13,0,213,1,0,2,4,0.25,3,0.75,0-0,1,0-0,View Bio
20.0,"Bayliss, Sam 20Bayliss, Sam",7,0,123,0,1,1,3,0.0,1,0.333,0-0,0,0-0,View Bio
19.0,"Fahmy, Nick 19Fahmy, Nick",19,13,947,0,1,1,9,0.0,5,0.556,4-0,0,0-0,View Bio
21.0,"Girard, Nate 21Girard, Nate",17,17,1447,0,1,1,5,0.0,4,0.8,0-0,0,0-0,View Bio
9.0,"Bodamer, Corbin 9Bodamer, Corbin",10,0,175,0,0,0,4,0.0,3,0.75,1-0,0,0-0,View Bio
1.0,"Benson, Carter 1Benson, Carter",15,15,1305,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
2.0,"Huang, Ryan 2Huang, Ryan",14,12,925,0,0,0,4,0.0,0,0.0,1-0,0,0-0,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",5,4,294,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
31.0,"Kunkel, Jayson 31Kunkel, Jayson",3,0,111,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4.0,"Larson, Evan 4Larson, Evan",18,9,1166,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
22.0,"Murray, Declan 22Murray, Declan",2,0,10,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12.0,"Wilson, Owen 12Wilson, Owen",7,0,116,0,0,0,1,0.0,1,1.0,1-0,0,0-0,View Bio
,Total,19,-,18814,34,30,98,244,0.139,128,0.525,25-0,10,2-3,
,Opponent,19,-,18813,24,19,67,202,0.119,101,0.5,48-0,8,2-2,
