Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2022,at Coe,3-0,3/0,2/0,11/2,8/2,4/0,2/1,0/0
09/03/2022,vs Elmhurst,0-1,0/1,0/2,9/9,3/3,0/5,4/5,0/0
9/7/2022,at Dubuque,1-3,1/3,1/2,14/15,5/5,6/3,1/4,0/0
09/10/2022,vs Central (IA),2-0,2/0,1/0,12/8,8/4,13/3,0/1,0/0
09/11/2022,vs Wis.-Eau Claire,0-2,0/2,0/2,5/18,1/11,4/3,4/1,0/0
09/17/2022,vs Neb. Wesleyan,0-2,0/2,0/3,17/19,2/6,7/2,1/3,0/0
09/18/2022,at Buena Vista,5-0,5/0,4/0,25/0,12/0,11/3,1/1,0/0
09/24/2022,at Illinois Col.,3-1,3/1,3/0,13/14,6/5,3/5,2/3,0/0
09/27/2022,vs Knox,1-0,1/0,1/0,12/10,6/4,3/7,0/1,0/0
10/04/2022,vs Cornell College,4-2,4/2,5/1,19/9,13/4,5/7,2/5,0/0
10/08/2022,vs Beloit,1-1,1/1,0/0,19/7,11/7,9/1,1/5,0/0
10/11/2022,at Monmouth (IL),3-1,3/1,2/1,15/9,11/3,6/5,2/5,0/0
10/15/2022,at Lawrence,1-0,1/0,0/0,12/6,8/3,7/4,1/2,0/0
10/16/2022,at Lakeland University,3-1,3/1,4/0,12/12,8/7,2/2,1/1,0/0
10/22/2022,at Ripon,2-3,2/3,2/3,6/8,5/7,6/3,2/2,0/0
10/23/2022,at Marian (WI),2-3,2/3,2/3,14/18,7/10,5/9,1/2,0/0
10/29/2022,vs Lake Forest,0-2,0/2,0/2,11/14,3/5,7/8,0/4,0/0
11/04/2022,vs Ripon,2-0,2/0,2/0,7/7,5/5,5/1,0/0,0/0
11/05/2022,at Lake Forest,1-2,1/2,1/0,11/17,6/10,4/6,0/2,0/0
Totals,,,34/24,30/19,244/202,128/101,107/77,25/48,0/0
