Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2022,Coe,3-0,90:00,0,0.0,2,1.0,1,0,0,1,2
09/03/2022,Elmhurst,0-1,90:00,1,0.5,2,0.667,0,1,0,0,9
9/7/2022,Dubuque,1-3,90:00,3,1.33,2,0.4,0,1,0,0,15
09/10/2022,Central (IA),2-0,90:00,0,1.0,4,1.0,1,0,0,1,8
09/11/2022,Wis.-Eau Claire,0-2,90:00,2,1.2,8,0.8,0,1,0,0,18
09/17/2022,Neb. Wesleyan,0-2,90:00,2,1.33,4,0.667,0,1,0,0,19
09/18/2022,Buena Vista,5-0,90:00,0,1.14,0,0.0,1,0,0,1,0
09/24/2022,Illinois Col.,3-1,90:00,1,1.13,4,0.8,1,0,0,0,14
09/27/2022,Knox,1-0,90:00,0,1.0,4,1.0,1,0,0,1,10
10/04/2022,Cornell College,4-2,90:00,2,1.1,2,0.5,1,0,0,0,9
10/08/2022,Beloit,1-1,90:00,1,1.09,6,0.857,0,0,1,0,7
10/11/2022,Monmouth (IL),3-1,90:00,1,1.08,2,0.667,1,0,0,0,9
10/15/2022,Lawrence,1-0,90:00,0,1.0,3,1.0,1,0,0,1,6
10/16/2022,Lakeland University,3-1,90:00,1,1.0,6,0.857,1,0,0,0,12
10/22/2022,Ripon,2-3,90:00,3,1.13,4,0.571,0,1,0,0,8
10/23/2022,Marian (WI),2-3,90:00,3,1.25,7,0.7,0,1,0,0,18
10/29/2022,Lake Forest,0-2,90:00,2,1.29,3,0.6,0,1,0,0,14
11/04/2022,Ripon,2-0,90:00,0,1.22,5,1.0,1,0,0,1,7
11/05/2022,Lake Forest,1-2,90:00,2,1.26,8,0.8,0,1,0,0,17
Totals,,-,1710,24,1.26,76,0.76,10,8,1,6,202
Opponent,,-,1710:00,34,1.79,93,0.732,8,10,1,4,243
