Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2022,Coe,0-3,0,0,0,2,0.0,2,1.0,1-0,0,0-0,990
09/03/2022,Elmhurst,1-0,1,2,4,9,0.111,3,0.333,5-0,1,0-0,990
9/7/2022,Dubuque,3-1,3,2,8,15,0.2,5,0.333,4-0,1,0-0,991
09/10/2022,Central (IA),0-2,0,0,0,8,0.0,4,0.5,1-0,0,0-0,990
09/11/2022,Wis.-Eau Claire,2-0,2,2,6,18,0.111,11,0.611,1-0,1,0-0,990
09/17/2022,Neb. Wesleyan,2-0,2,3,7,19,0.105,6,0.316,3-0,1,0-0,990
09/18/2022,Buena Vista,0-5,0,0,0,0,0.0,0,0.0,1-0,0,0-0,989
09/24/2022,Illinois Col.,1-3,1,0,2,14,0.071,5,0.357,3-0,0,1-1,990
09/27/2022,Knox,0-1,0,0,0,10,0.0,4,0.4,1-0,0,0-0,990
10/04/2022,Cornell College,2-4,2,1,5,9,0.222,4,0.444,5-0,0,0-0,990
10/08/2022,Beloit,1-1,1,0,2,7,0.143,7,1.0,5-0,0,0-0,990
10/11/2022,Monmouth (IL),1-3,1,1,3,9,0.111,3,0.333,5-0,0,0-0,990
10/15/2022,Lawrence,0-1,0,0,0,6,0.0,3,0.5,2-0,0,0-0,990
10/16/2022,Lakeland University,1-3,1,0,2,12,0.083,7,0.583,1-0,0,0-0,990
10/22/2022,Ripon,3-2,3,3,9,8,0.375,7,0.875,2-0,1,0-0,991
10/23/2022,Marian (WI),3-2,3,3,9,18,0.167,10,0.556,2-0,1,0-0,992
10/29/2022,Lake Forest,2-0,2,2,6,14,0.143,5,0.357,4-0,1,0-0,990
11/04/2022,Ripon,0-2,0,0,0,7,0.0,5,0.714,0-0,0,0-0,990
11/05/2022,Lake Forest,2-1,2,0,4,17,0.118,10,0.588,2-0,1,1-1,990
Total,,24-34,24,19,67,202,0.119,101,0.5,48-0,8,2-2,18813
Grinnell,,-,34,30,98,244,0.139,128,0.525,25-0,10,-,18814
