Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2022,at Coe,W,3-0,"(1-0-0, 0-0-0)",0-0-0,77,"Noah Guyton (1) Jaxon Willoughby (1) (Billy Cherres , Peter Murphy)  Noah Guyton (0)"
09/03/2022,vs Elmhurst,L,0-1,"(1-1-0, 0-0-0)",0-0-0,50,
9/7/2022,at Dubuque,L,1-3,"(1-2-0, 0-0-0)",0-0-0,112,Noah Guyton (3) (Dylan Maddux)
09/10/2022,vs Central (IA),W,2-0,"(2-2-0, 0-0-0)",0-0-0,82,Noah Guyton (4) (Jimmy Miseda)  Jaxon Willoughby (2)
09/11/2022,vs Wis.-Eau Claire,L,0-2,"(2-3-0, 0-0-0)",0-0-0,50,
09/17/2022,vs Neb. Wesleyan,L,0-2,"(2-4-0, 0-0-0)",0-0-0,107,
09/18/2022,at Buena Vista,W,5-0,"(3-4-0, 0-0-0)",0-0-0,50,"Sam Heller (1) (Sam Bayliss)  Alex Liu Nowakoski (1) Matias Bambi (1) (Noah Guyton)  Dylan Maddux (1) Noah Guyton (5) (Caleb Hoereth , Jaxon Willoughby)"
09/24/2022,at Illinois Col.,W,3-1,"(4-4-0, 1-0-0)",1-0-0,84,Jaxon Willoughby (3) (Caleb Hoereth)  Noah Guyton (7) (Jaxon Willoughby)  Noah Guyton (7) (Jaxon Willoughby)
09/27/2022,vs Knox,W,1-0,"(5-4-0, 2-0-0)",2-0-0,82,Dylan Maddux (2) (Jaxon Willoughby)
10/04/2022,vs Cornell College,W,4-2,"(6-4-0, 3-0-0)",3-0-0,73,"Noah Guyton (8) (Nick Fahmy , Jaxon Willoughby)  Dylan Maddux (3) Dylan Maddux (3) (Noah Guyton)  Peter Murphy (1) (Dylan Maddux , Billy Cherres)"
10/08/2022,vs Beloit,T,1-1,"(6-4-1, 3-0-1)",3-0-1,50,Antonio Bernardo (1)
10/11/2022,at Monmouth (IL),W,3-1,"(7-4-1, 4-0-1)",4-0-1,250,Noah Guyton (9) Soma Suzuki (1) (Sam Heller)  Caleb Burns (1) (Noah Guyton)
10/15/2022,at Lawrence,W,1-0,"(8-4-1, 5-0-1)",5-0-1,538,Dylan Maddux (5)
10/16/2022,at Lakeland University,W,3-1,(9-4-1),,134,"Heller, Sam (2) (Nihei, Braden , Alex Liu Nowakoski)  Hoereth, Caleb (1) (Maddux, Dylan)  Guyton, Noah (10) (Maddux, Dylan)"
10/22/2022,at Ripon,L,2-3,"(9-5-1, 5-1-1)",5-1-1,100,"Guyton, Noah (11) (Maddux, Dylan)  Bambi, Matias (2) (Maddux, Dylan)"
10/23/2022,at Marian (WI),L,2-3,"(9-6-1, 5-1-1)",5-1-1,236,"Murphy, Peter (2) (Guyton, Noah)  Miseda, Jimmy (1) (Heller, Sam)"
10/29/2022,vs Lake Forest,L,0-2,"(9-7-1, 5-2-1)",5-2-1,151,
11/04/2022,vs Ripon,W,2-0,"(10-7-1, 5-2-1)",5-2-1,200,Ryota Matsunaga (1) (Nate Girard)  Jaxon Willoughby (4) (Matias Bambi)
11/05/2022,at Lake Forest,L,1-2,"(10-8-1, 5-2-1)",5-2-1,243,Alex Liu Nowakoski (2) (Braden Nihei)
