Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,42221,24801,
2004,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,51708,26570,
2005,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,39678,29709,
2006,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,45266,23125,
2007,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,54420,28288,
2008,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,47027,26162,
2009,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,54488,26675,
2010,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,49020,35898,
2011,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,54314,31329,
2012,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,53332,33333,
2013,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,59695,33782,
2014,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,51717,41019,
2015,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,56926,39793,
2016,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,51453,26866,
2017,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,61485,43467,
2018,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,60024,47168,
2019,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,49919,38692,
2020,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,877,2517,
2021,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,73343,65415,
2022,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,77407,52570,
