Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2004,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2005,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2006,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2007,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2008,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2009,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2010,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2011,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2012,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2013,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2014,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2015,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2016,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2017,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2018,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2019,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2020,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2021,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
2022,144050,00177400,University of Chicago,IL,NCAA Division III with football,,1,NCAA,3987,3520,7507,0,0,
