Statistic,High,Player,Opponent
AT BATS,6,Luke Porter; Sean Tashjian; J. Fournier; Josh Fournier; N. Ruden,Lawrence (4/1/2023); Lawrence University (4/2/2023); Chicago (4/17/2023); Chicago (4/17/2023); Neb. Wesleyan (4/25/2023)
RUNS SCORED,4,Nikolas Ruden,Lawrence (4/1/2023)
HITS,5,M. McCain,Knox (5/7/2023)
RBIS,5,Luke Porter; Sean Tashjian,Chicago (4/17/2023); Monmouth (Ill.) (4/8/2023); Monmouth (Ill.) (4/8/2023)
DOUBLES,3,Ethan Crawford; M. McCain,Beloit (3/27/2023); Illinois Col. (4/22/2023)
TRIPLES,1,Sean Tashjian; N. Ruden; Ian Brown; S. Tashjian,Spalding (3/18/2023); Lawrence University (4/2/2023); Chicago (4/17/2023); Ripon (4/29/2023); Ripon (4/30/2023)
HOME RUNS,3,Luke Porter,Monmouth (Ill.) (4/8/2023)
WALKS,3,C. Philpott; Ethan Crawford; Nathan McCurdy,Neb. Wesleyan (4/25/2023); Edgewood (3/18/2023); Wis.-Platteville (3/20/2023)
STRIKEOUTS,4,Luke Porter; Ethan Crawford,Lawrence University (4/2/2023); Lawrence University (4/2/2023)
SAC HITS,1,Lucas Hadding; J. Fournier,Lawrence University (4/2/2023); Cornell College (3/30/2023)
SAC FLIES,1,Cole Philpott; Lucas Hadding; Luke Porter; C. Philpott; Mac McCain,Hendrix (3/22/2023); Lawrence University (4/2/2023); Chicago (4/17/2023); Neb. Wesleyan (4/25/2023); Ripon (4/29/2023)
STOLEN BASES,2,Josh Fournier; L. Hadding; Michael Flaherty,Hendrix (3/22/2023); Knox (5/6/2023); Monmouth (Ill.) (4/8/2023); Knox (5/7/2023)
HIT BY PITCH,2,Nikolas Ruden; Mac McCain; Michael Flaherty,Lawrence (4/1/2023); Lawrence University (4/2/2023); Beloit (3/28/2023)
CAUGHT STEALING,1,Sean Richardson; C. Philpott; Ethan Crawford; E. Borberg; N. Ruden,Carroll (Wis.) (3/19/2023); Cornell College (4/13/2023); Chicago (4/17/2023); Neb. Wesleyan (4/25/2023); Knox (5/6/2023)
HIT INTO DP,1,Ian Brown; Mac McCain; J. Fournier; S. Tashjian; M. McCain,Spalding (3/18/2023); Hendrix (3/22/2023); Cornell College (4/13/2023); Neb. Wesleyan (4/25/2023); Ripon (4/30/2023)
