#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
33.0,"Hadding, Lucas 33 Hadding, Lucas",29,29,0,0,1.0,0,0,0,0,0,View Bio
5.0,"Philpott, Cole 5 Philpott, Cole",21,21,0,0,1.0,0,0,0,0,0,View Bio
23.0,"Hull, Jake 23 Hull, Jake",10,2,8,0,1.0,2,3,0,0,0,View Bio
26.0,"Watts, Kelton 26 Watts, Kelton",8,8,0,0,1.0,1,7,0,0,0,View Bio
20.0,"McCurdy, Nathan 20 McCurdy, Nathan",7,7,0,0,1.0,0,0,0,0,0,View Bio
19.0,"Feld, Ian 19 Feld, Ian",4,0,4,0,1.0,0,1,0,0,0,View Bio
2.0,"Barker-Fost, Harry 2 Barker-Fost, Harry",3,3,0,0,1.0,0,0,0,0,0,View Bio
10.0,"Kelly, Ben 10 Kelly, Ben",2,0,2,0,1.0,0,0,0,0,0,View Bio
22.0,"Stoll, Jack 22 Stoll, Jack",2,0,2,0,1.0,0,0,0,0,0,View Bio
36.0,"Ros, Augie 36 Ros, Augie",2,1,1,0,1.0,0,2,1,0,0,View Bio
37.0,"Shaul, Daniel 37 Shaul, Daniel",2,0,2,0,1.0,0,6,2,0,0,View Bio
40.0,"Nakamoto, Matthew 40 Nakamoto, Matthew",2,2,0,0,1.0,0,6,0,0,0,View Bio
42.0,"Love, Alex 42 Love, Alex",2,0,2,0,1.0,0,4,1,0,0,View Bio
29.0,"Schwartz, Ben 29 Schwartz, Ben",1,1,0,0,1.0,0,0,0,0,0,View Bio
7.0,"Shedd, Carter 7 Shedd, Carter",1,1,0,0,1.0,0,2,0,0,0,View Bio
8.0,"Haaland, Cam 8 Haaland, Cam",1,0,1,0,1.0,0,1,0,0,0,View Bio
46.0,"Porter, Luke 46 Porter, Luke",191,182,8,1,0.995,12,0,0,0,0,View Bio
13.0,"Crawford, Ethan 13 Crawford, Ethan",172,155,13,4,0.977,2,29,4,11,0,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",58,45,11,2,0.966,0,7,3,0,0,View Bio
12.0,"Tashjian, Sean 12 Tashjian, Sean",50,45,2,3,0.94,1,0,0,0,0,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",95,29,60,6,0.937,6,0,0,0,0,View Bio
30.0,"Ruden, Nikolas 30 Ruden, Nikolas",59,25,30,4,0.932,6,0,0,0,0,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",24,8,14,2,0.917,1,0,0,0,0,View Bio
9.0,"McCain, Mac 9 McCain, Mac",107,28,69,10,0.907,8,0,0,0,0,View Bio
45.0,"L'Esperance, Nate 45 L'Esperance, Nate",9,7,1,1,0.889,0,0,0,0,0,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",16,13,1,2,0.875,0,0,0,0,0,View Bio
25.0,"Brown, Ian 25 Brown, Ian",8,7,0,1,0.875,0,0,0,0,0,View Bio
39.0,"Runkel, Jakob 39 Runkel, Jakob",9,3,4,2,0.778,0,6,0,0,0,View Bio
16.0,"Lane, Simon 16 Lane, Simon",4,0,3,1,0.75,1,3,1,0,0,View Bio
15.0,"Jungers, Ryan 15 Jungers, Ryan",6,1,3,2,0.667,0,3,1,0,0,View Bio
17.0,"Cerrato, Ben 17 Cerrato, Ben",0,0,0,0,0.0,0,0,1,0,0,View Bio
18.0,"Kajita, Kenji 18 Kajita, Kenji",0,0,0,0,0.0,0,0,0,0,0,View Bio
21.0,"Carlton, Brad 21 Carlton, Brad",0,0,0,0,0.0,0,0,0,0,0,View Bio
28.0,"Pocklington, Danny 28 Pocklington, Danny",0,0,0,0,0.0,0,1,1,0,0,View Bio
3.0,"Nasif, Garrett 3 Nasif, Garrett",0,0,0,0,0.0,0,1,0,0,0,View Bio
31.0,"Rosen, Matthew 31 Rosen, Matthew",0,0,0,0,0.0,0,0,0,0,0,View Bio
32.0,32  32 32,0,0,0,0,0.0,0,0,0,0,0,
6.0,"Natori, Neill 6 Natori, Neill",0,0,0,0,0.0,0,4,0,0,0,View Bio
,Totals,905,623,241,41,0.955,40,86,15,11,0,
,Opponents,873,615,212,46,0.947,32,74,18,4,0,
