Statistic,High,Opponent
AT BATS,46,Knox (5/7/2023)
RUNS SCORED,21,Knox (5/7/2023)
HITS,21,Knox (5/7/2023)
RBIS,21,Knox (5/7/2023)
DOUBLES,5,Knox (5/6/2023); Illinois Col. (4/22/2023)
TRIPLES,1,Spalding (3/18/2023); Lawrence University (4/2/2023); Chicago (4/17/2023); Ripon (4/29/2023); Ripon (4/30/2023)
HOME RUNS,4,Chicago (4/17/2023); Chicago (5/2/2023); Monmouth (Ill.) (4/8/2023)
WALKS,11,Westminster (Mo.) (3/12/2023); Knox (5/7/2023)
STRIKEOUTS,15,Lawrence University (4/2/2023)
SAC HITS,2,Cornell College (3/30/2023)
SAC FLIES,2,Chicago (4/17/2023); Cornell College (3/30/2023)
STOLEN BASES,7,Monmouth (Ill.) (4/8/2023)
HIT BY PITCH,4,Lawrence (4/1/2023); Lawrence University (4/2/2023)
CAUGHT STEALING,3,Carroll (Wis.) (3/19/2023)
HIT INTO DP,2,Neb. Wesleyan (4/25/2023); Cornell College (3/30/2023); Cornell College (4/13/2023)
