#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
23.0,"Hull, Jake 23Hull, Jake",3.2,1.42,2-1,12-9,0,0-1,0,39.1,44,28,14,12,18,4,1,8,159,0.277,2,4,0,0,2,View Bio
12.0,"Tashjian, Sean 12Tashjian, Sean",0.0,0.0,0-0,1-0,0,0-0,0,1.0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,View Bio
8.0,"Haaland, Cam 8Haaland, Cam",2.37,1.58,2-1,9-1,0,0-0,0,19.0,24,9,5,6,17,5,0,2,79,0.304,1,3,0,0,1,View Bio
35.0,"Goodson, Connor 35Goodson, Connor",3.86,1.07,1-0,1-1,0,0-0,0,4.2,2,4,2,3,5,1,0,0,16,0.125,0,1,0,0,0,View Bio
42.0,"Love, Alex 42Love, Alex",4.35,1.6,0-1,11-2,0,0-1,0,20.2,21,15,10,12,19,2,1,2,78,0.269,3,3,1,1,2,View Bio
19.0,"Feld, Ian 19Feld, Ian",4.85,1.46,2-1,10-0,0,0-1,3,13.0,13,8,7,6,14,2,0,0,48,0.271,0,1,0,2,1,View Bio
39.0,"Runkel, Jakob 39Runkel, Jakob",5.33,1.7,1-2,17-0,0,0-2,0,25.1,27,17,15,16,28,5,0,0,98,0.276,5,2,0,1,2,View Bio
3.0,"Nasif, Garrett 3Nasif, Garrett",5.4,1.28,0-2,3-3,0,0-0,0,13.1,13,8,8,4,20,3,0,0,51,0.255,1,1,0,1,0,View Bio
40.0,"Nakamoto, Matthew 40Nakamoto, Matthew",5.91,1.41,3-1,13-2,0,0-1,0,32.0,34,27,21,11,37,5,3,2,129,0.264,2,7,0,0,1,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",6.06,1.53,0-1,12-0,0,0-0,0,16.1,15,13,11,10,15,2,0,6,63,0.238,0,5,1,0,2,View Bio
37.0,"Shaul, Daniel 37Shaul, Daniel",7.39,1.89,0-3,9-7,0,0-0,0,28.0,29,29,23,24,33,6,2,3,113,0.257,4,5,1,0,2,View Bio
15.0,"Jungers, Ryan 15Jungers, Ryan",7.94,1.94,1-3,10-8,0,0-0,0,34.0,55,42,30,11,28,13,4,8,157,0.35,1,6,0,1,1,View Bio
7.0,"Shedd, Carter 7Shedd, Carter",8.31,2.54,1-1,9-3,0,0-0,0,13.0,18,14,12,15,10,4,0,0,51,0.353,6,4,0,1,1,View Bio
36.0,"Ros, Augie 36Ros, Augie",8.53,2.0,3-0,13-0,0,0-0,0,19.0,27,20,18,11,7,5,1,3,79,0.342,1,4,0,1,2,View Bio
18.0,"Kajita, Kenji 18Kajita, Kenji",8.59,2.32,0-1,7-0,0,0-0,0,7.1,4,13,7,13,8,2,0,0,26,0.154,1,0,2,1,0,View Bio
16.0,"Lane, Simon 16Lane, Simon",10.8,2.76,1-0,12-0,0,0-0,0,16.2,24,22,20,22,14,3,1,3,67,0.358,1,0,2,3,2,View Bio
6.0,"Natori, Neill 6Natori, Neill",10.8,2.4,0-0,3-0,0,0-0,0,3.1,6,4,4,2,3,1,0,0,17,0.353,0,0,0,0,0,View Bio
17.0,"Cerrato, Ben 17Cerrato, Ben",12.6,2.2,1-1,9-1,0,0-0,0,10.0,12,16,14,10,9,3,0,2,38,0.316,7,5,1,1,1,View Bio
28.0,"Pocklington, Danny 28Pocklington, Danny",21.81,3.58,0-2,6-2,0,0-0,0,8.2,19,22,21,12,11,1,2,2,42,0.452,2,1,0,1,0,View Bio
21.0,"Carlton, Brad 21Carlton, Brad",99.0,0.0,0-0,2-0,0,0-0,0,0.0,1,4,4,2,0,1,0,0,1,1.0,2,2,0,0,0,View Bio
,Totals,6.76,1.82,18-21,169-39,0,2,3,324.2,388,315,244,202,296,68,15,41,1315,0.295,39,54,8,14,20,
,Opponents,6.34,1.65,21-18,125-39,3,1,4,327.2,372,273,231,169,281,74,9,50,1324,0.281,35,49,4,13,3,
