Player,Longest,Current
"Porter, Luke",22,22
"Tashjian, Sean",20,-
"Philpott, Cole",18,1
"Fournier, Josh",13,7
"McCain, Mac",10,6
"Brown, Ian",9,-
"Crawford, Ethan",8,-
"Richardson, Sean",8,1
"Flaherty, Michael",6,1
"Borberg, Evan",5,-
"Ruden, Nikolas",5,-
"McCurdy, Nathan",4,1
"Hadding, Lucas",4,-
"L'Esperance, Nate",4,3
"Barker-Fost, Harry",1,1
"Watts, Kelton",1,-
"Schwartz, Ben",1,-
"Rosen, Matthew",1,1
