Player,2,3,4,5+,Total
"Porter, Luke",12,5,1,-,18
"Fournier, Josh",10,3,-,-,13
"Tashjian, Sean",12,1,-,-,13
"Crawford, Ethan",10,3,-,-,13
"Ruden, Nikolas",10,-,-,-,10
"Philpott, Cole",9,-,-,-,9
"McCain, Mac",5,1,1,1,8
"Brown, Ian",4,2,-,-,6
"Richardson, Sean",3,-,2,-,5
"Hadding, Lucas",5,-,-,-,5
"L'Esperance, Nate",4,-,-,-,4
"Flaherty, Michael",2,-,-,-,2
"Borberg, Evan",2,-,-,-,2
"McCurdy, Nathan",1,-,-,-,1
TEAM,89,15,4,1,109
