Statistic,High,Opponent
INNINGS PITCHED,9.0,Spalding (3/18/2023); Carroll (Wis.) (3/19/2023); Hendrix (3/22/2023); Lawrence (4/1/2023); Lawrence University (4/2/2023)
RUNS ALLOWED,22.0,Ripon (4/30/2023)
EARNED RUNS,16.0,Lawrence University (4/2/2023)
WALKS ALLOWED,15.0,Lawrence University (4/2/2023)
STRIKEOUTS,17.0,Knox (5/6/2023)
HITS ALLOWED,17.0,Spalding (3/18/2023); Neb. Wesleyan (4/25/2023)
DOUBLES ALLOWED,5.0,Ripon (4/30/2023)
TRIPLES ALLOWED,2.0,Chicago (4/17/2023); Ripon (4/29/2023)
HOME RUNS ALLOWED,7.0,Lawrence University (4/2/2023)
WILD PITCHES,4.0,Ripon (4/30/2023); Cornell College (3/30/2023)
HIT BATTERS,4.0,Chicago (4/17/2023); Illinois Col. (4/22/2023); Beloit (5/12/2023)
