School,Conf,Overall,CPts,CPct.,Pct.,Streak,Home,Away,Neutral
Knox#*,8-1,13-5-3,24,.889,.690,L1,8-0-1,5-4-2,0-1
Grinnell*,7-2,9-7-1,21,.778,.559,L1,4-3-1,5-3,0-1
St. Norbert College*,6-2-1,8-11-1,19,.722,.425,L1,3-4-1,4-5,1-2
Ripon*,5-4,7-10-2,15,.556,.421,T1,3-6-1,4-4-1,0-0
Lake Forest,4-4-1,8-9-1,13,.500,.472,T1,5-3,3-6-1,0-0
Cornell College,4-5,5-12-1,12,.444,.306,L4,4-6-1,1-6,0-0
Beloit,4-5,5-10-1,12,.444,.344,L2,2-4-1,3-6,0-0
Monmouth (IL),4-5,9-8,12,.444,.529,W1,7-2,2-6,0-0
Illinois Col.,2-7,6-12,6,.222,.333,L5,5-4,1-6,0-2
Lawrence,0-9,0-18,0,.000,.000,L18,0-11,0-7,0-0
